SOC (%),R0 (Ohm),M,M0,R (Ohm),C (Farad),RC (Tau)
88.64,0.002800,N/A,N/A,0.002684,24189.09,64.93
77.28,0.002200,N/A,N/A,0.002346,16580.74,38.90
65.91,0.002900,N/A,N/A,0.002374,15177.98,36.04
54.54,0.002400,N/A,N/A,0.002436,19607.71,47.77
43.17,0.002700,N/A,N/A,0.002372,20897.75,49.57
31.81,0.002900,N/A,N/A,0.002212,15061.40,33.32
20.46,0.002800,N/A,N/A,0.002208,24841.49,54.84
9.09,0.002800,N/A,N/A,0.002506,20591.86,51.61
0.00,0.003600,N/A,N/A,0.004556,18438.59,84.00
0.00,0.008500,N/A,N/A,0.014444,4123.72,59.56
