-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.118,0.309
*1-2,Wait,0,0
*1-3,C-CV,20.87,69.97
*1-4,Wait,0,0
*1-5,D-CC,20.80,66.82
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
14454,4.40,3.553
14456,4.40,3.536
14458,4.40,3.522
14460,4.40,3.507
14462,4.40,3.493
14464,4.40,3.486
14466,4.40,3.479
14468,4.40,3.471
14470,4.40,3.464
14472,4.40,3.461
14474,4.40,3.457
14476,4.40,3.450
14478,4.40,3.450
14480,4.40,3.442
14482,4.40,3.441
14484,4.40,3.436
14486,4.40,3.435
14488,4.40,3.434
14490,4.40,3.428
14492,4.40,3.428
14494,4.40,3.427
14496,4.40,3.420
14498,4.40,3.420
14500,4.40,3.420
14502,4.40,3.414
14504,4.40,3.413
14506,4.40,3.412
14508,4.40,3.410
14510,4.40,3.406
14512,4.40,3.406
14514,4.40,3.405
14516,4.40,3.403
14518,4.40,3.399
14520,4.40,3.399
14522,4.40,3.398
14524,4.40,3.397
14526,4.40,3.391
14528,4.40,3.391
14530,4.40,3.391
14532,4.40,3.390
14534,4.40,3.388
14536,4.40,3.384
14538,4.40,3.384
14540,4.40,3.383
14542,4.40,3.381
14544,4.40,3.377
14546,4.40,3.377
14548,4.40,3.377
14550,4.40,3.377
14552,4.40,3.376
14554,4.40,3.374
14556,4.40,3.369
14558,4.40,3.369
14560,4.40,3.369
14562,4.40,3.369
14564,4.40,3.369
14566,4.40,3.365
14568,4.40,3.362
14570,4.40,3.362
14572,4.40,3.362
14574,4.40,3.362
14576,4.40,3.361
14578,4.40,3.359
14580,4.40,3.355
14582,4.40,3.355
14584,4.40,3.355
14586,4.40,3.355
14588,4.40,3.354
14590,4.40,3.354
14592,4.40,3.349
14594,4.40,3.348
14596,4.40,3.348
14598,4.40,3.348
14600,4.40,3.348
14602,4.40,3.347
14604,4.40,3.347
14606,4.40,3.345
14608,4.40,3.341
14610,4.40,3.340
14612,4.40,3.340
14614,4.40,3.340
14616,4.40,3.339
14618,4.40,3.339
14620,4.40,3.339
14622,4.40,3.336
14624,4.40,3.333
14626,4.40,3.333
14628,4.40,3.333
14630,4.40,3.333
14632,4.40,3.333
14634,4.40,3.332
14636,4.40,3.332
14638,4.40,3.331
14640,4.40,3.328
14642,4.40,3.326
14644,4.40,3.326
14646,4.40,3.326
14648,4.40,3.326
14650,4.40,3.326
14652,4.40,3.326
14654,4.40,3.325
14656,4.40,3.325
14658,4.40,3.321
14660,4.40,3.319
14662,4.40,3.318
14664,4.40,3.318
14666,4.40,3.318
14668,4.40,3.318
14670,4.40,3.318
14672,4.40,3.318
14674,4.40,3.317
14676,4.40,3.317
14678,4.40,3.317
14680,4.40,3.317
14682,4.40,3.315
14684,4.40,3.313
14686,4.40,3.311
14688,4.40,3.311
14690,4.40,3.311
14692,4.40,3.311
14694,4.40,3.311
14696,4.40,3.311
14698,4.40,3.311
14700,4.40,3.311
14702,4.40,3.310
14704,4.40,3.310
14706,4.40,3.310
14708,4.40,3.309
14710,4.40,3.307
14712,4.40,3.306
14714,4.40,3.304
14716,4.40,3.304
14718,4.40,3.304
14720,4.40,3.304
14722,4.40,3.304
14724,4.40,3.304
14726,4.40,3.304
14728,4.40,3.304
14730,4.40,3.304
14732,4.40,3.304
14734,4.40,3.303
14736,4.40,3.303
14738,4.40,3.303
14740,4.40,3.303
14742,4.40,3.303
14744,4.40,3.303
14746,4.40,3.302
14748,4.40,3.301
14750,4.40,3.299
14752,4.40,3.298
14754,4.40,3.297
14756,4.40,3.297
14758,4.40,3.297
14760,4.40,3.297
14762,4.40,3.297
14764,4.40,3.297
14766,4.40,3.297
14768,4.40,3.297
14770,4.40,3.297
14772,4.40,3.297
14774,4.40,3.297
14776,4.40,3.297
14778,4.40,3.297
14780,4.40,3.297
14782,4.40,3.297
14784,4.40,3.297
14786,4.40,3.297
14788,4.40,3.297
14790,4.40,3.297
14792,4.40,3.297
14794,4.40,3.296
14796,4.40,3.297
14798,4.40,3.297
14800,4.40,3.296
14802,4.40,3.296
14804,4.40,3.296
14806,4.40,3.296
14808,4.40,3.296
14810,4.40,3.296
14812,4.40,3.296
14814,4.40,3.296
14816,4.40,3.296
14818,4.40,3.296
14820,4.40,3.296
14822,4.40,3.295
14824,4.40,3.295
14826,4.40,3.295
14828,4.40,3.294
14830,4.40,3.294
14832,4.40,3.294
14834,4.40,3.293
14836,4.40,3.293
14838,4.40,3.293
14840,4.40,3.293
14842,4.40,3.292
14844,4.40,3.291
14846,4.40,3.292
14848,4.40,3.291
14850,4.40,3.291
14852,4.40,3.291
14854,4.40,3.290
14856,4.40,3.290
14858,4.40,3.290
14860,4.40,3.290
14862,4.40,3.290
14864,4.40,3.290
14866,4.40,3.290
14868,4.40,3.290
14870,4.40,3.289
14872,4.40,3.289
14874,4.40,3.289
14876,4.40,3.289
14878,4.40,3.289
14880,4.40,3.289
14882,4.40,3.289
14884,4.40,3.289
14886,4.40,3.289
14888,4.40,3.289
14890,4.40,3.289
