Timestamp,V_Meas(Avg),V_Pred(EKF),SoC_CC(%),SoC_EKF(%),dt
17:25:44,3.553,3.524.382,9.999.412.298,100,1
17:25:45,3.536,3.529.736,9.998.824.596,100,1
17:25:46,3.522,3.529.723,9.998.236.895,9.978.120.327,1
17:25:47,3.507,3.525.245,9.997.649.193,9.926.390.648,1
17:25:48,3.493,3.515.468,9.997.061.491,9.862.593.412,1
17:25:49,3.486,3.503.588,9.996.473.789,9.812.576.771,1
17:25:50,3.479,3.494.206,9.995.886.087,9.769.766.927,1
17:25:51,3.471,3.486.037,9.995.298.386,9.727.849.364,1
17:25:52,3.464,3.477.952,9.994.710.684,9.689.477.086,1
17:25:53,3.461,347.042,9.994.122.982,9.663.808.346,1
17:25:54,3.457,3.465.199,999.353.528,9.641.654.491,1
17:25:55,3.45,3.460.604,9.992.947.578,9.613.653.421,1
17:25:56,3.45,3.454.789,9.992.359.877,9.600.836.039,1
17:25:57,3.442,345.194,9.991.772.175,9.575.291.872,1
17:25:58,3.441,3.446.475,9.991.184.473,956.114.471,1
17:25:59,3.436,3.443.289,9.990.597,9.542.720.914,1
17:26:00,3.435,3.439.187,9.990.009.069,9.532.036.781,1
17:26:01,3.434,343.667,9.989.421.368,9.525.101.781,1
17:26:02,3.428,343.493,9.988.833.666,9.508.263.469,1
17:26:03,3.428,3.431.033,9.988.245.964,9.500.672.221,1
17:26:04,3.427,3.429.123,9.987.658.262,9.495.232.105,1
17:26:05,3.42,3.427.682,998.707.056,947.732.091,1
17:26:06,3.42,3.423.426,9.986.482.859,9.469.121.099,1
17:26:07,3.42,3.421.341,9.985.895.157,9.465.583.563,1
17:26:08,3.414,342.032,9.985.307.455,9.451.297.522,1
17:26:09,3.413,341.678,9.984.719.753,9.442.610.741,1
17:26:10,3.412,3.414.539,9.984.132.051,9.436.637.163,1
17:26:11,3.41,3.412.935,998.354.435,9.429.901.242,1
17:26:12,3.406,3.411.137,9.982.956.648,9.418.683.648,1
17:26:13,3.406,3.408.231,9.982.368.946,9.413.532.615,1
17:26:14,3.405,3.406.807,9.981.781.244,9.409.291.744,1
17:26:15,3.403,3.405.604,9.981.194,9.403.508.902,1
17:26:16,3.399,3.404.004,9.980.605.841,9.393.040.538,1
17:26:17,3.399,3.401.197,9.980.018.139,9.388.151.765,1
17:26:18,3.398,3.399.821,9.979.430.437,9.384.041.429,1
17:26:19,3.397,3.398.641,9.978.842.735,9.380.312.562,1
17:26:20,3.391,3.397.558,9.978.255.033,9.367.334.843,1
17:26:21,3.391,3.393.996,9.977.667.332,9.361.140.728,1
17:26:22,3.391,3.392.249,997.707.963,9.358.234,1
17:26:23,3.39,3.391.392,9.976.491.928,9.355.095.029,1
17:26:24,3.388,3.390.467,9.975.904.226,9.350.021.482,1
17:26:25,3.383.999,3.389.005,9.975.316.525,934.042.871,1
17:26:26,3.383.999,3.386.269,9.974.728.823,9.335.807.562,1
17:26:27,3.383,3.384.926,9.974.141.121,9.331.827.164,1
17:26:28,3.381,3.383.763,9.973.553.419,9.326.418.638,1
17:26:29,3.377,3.382.184,9.972.965.717,9.316.868.782,1
17:26:30,3.377,3.379.392,9.972.378.016,93.121.773,1
17:26:31,3.377,3.378.021,997.179,93.098.557,1
17:26:32,3.377,3.377.349,9.971.202.612,9.308.682.084,1
17:26:33,3.376,3.377.018,997.061.491,9.306.400.418,1
17:26:34,3.374,3.376.351,9.970.027.208,9.301.926.494,1
17:26:35,3.369,3.375.016,9.969.439.507,9.291.488.528,1
17:26:36,3.369,3.371.843,9.968.851.805,9.286.296.964,1
17:26:37,3.369,3.370.284,9.968.264.103,9.283.645.749,1
17:26:38,3.369,3.369.519,9.967.676.401,9.282.230.139,1
17:26:39,3.369,3.369.142,9.967.088.699,9.281.417.131,1
17:26:40,3.365,3.368.957,9.966.500.998,9.274.639.487,1
17:26:41,3.362,3.366.852,9.965.913.296,9.266.504.645,1
17:26:42,3.362,3.364.309,9.965.325.594,9.262.363.911,1
17:26:43,3.362,3.363.059,9.964.737.892,9.260.159,1
17:26:44,3.362,3.362.444,996.415.019,9.258.897.305,1
17:26:45,3.361,3.362.142,9.963.562.489,9.256.592.989,1
17:26:46,3.359,336.149,9.962.974.787,9.252.284.765,1
17:26:47,3.355,3.360.162,9.962.387,9.244.050.384,1
17:26:48,3.355,3.357.499,9.961.799.383,9.239.798.188,1
17:26:49,3.355,335.619,9.961.211.681,9.237.473.607,1
17:26:50,3.355,3.355.546,996.062.398,9.236.095.548,1
17:26:51,3.354,3.355.229,9.960.036.278,9.233.747.125,1
17:26:53,3.354,3.354.569,9.959.448.576,92.323.488,1
17:26:53,3.349,3.354.244,9.958.860.874,9.224.337.935,1
17:26:54,3.348,3.351.571,9.958.273.172,9.218.735.695,1
17:26:55,3.348,3.349.755,9.957.685.471,9.215.701.818,1
17:26:56,3.348,3.348.862,9.957.097.769,9.213.921.428,1
17:26:57,3.348,3.348.422,9.956.510.067,9.212.753.773,1
17:26:58,3.347,3.348.204,9.955.922.365,9.210.527.539,1
17:26:59,3.347,3.347.594,9.955.334.663,9.209.137.559,1
17:27:00,3.345,3.347.292,9.954.746.962,9.205.464.125,1
17:27:01,3.341,3.346.138,995.415.926,9.198.012.352,1
17:27:02,3.34,3.343.563,9.953.571.558,9.192.699.194,1
17:27:03,3.34,3.341.795,9.952.984,9.189.751.744,1
17:27:04,3.34,3.340.925,9.952.396.154,9.187.954.664,1
17:27:05,3.339,3.340.496,9.951.808.453,9.185.421.467,1
17:27:06,3.339,3.339.782,9.951.220.751,9.183.826,1
17:27:07,3.339,3.339.429,9.950.633.049,9.182.687.998,1
17:27:08,3.336,3.339.254,9.950.045.347,9.177.953.601,1
17:27:09,3.333,3.337.661,9.949.457.645,9.171.475.768,1
17:27:10,3.333,3.335.373,9.948.869.944,9.167.906.046,1
17:27:11,3.333,3.334.248,9.948.282.242,9.165.760.279,1
17:27:12,3.333,3.333.693,994.769.454,9.164.313.078,1
17:27:13,3.333,3.333.418,9.947.106.838,91.632.092,1
17:27:14,3.332,333.328,9.946.519.136,916.105.032,1
17:27:15,3.332,333.271,9.945.931.435,9.159.598.947,1
17:27:16,3.331,3.332.427,9.945.343.733,9.157.280.326,1
17:27:17,3.328,3.331.784,9.944.756.031,9.152.140.021,1
