-----------EB Tester Software-----------
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.118,0.309
*1-2,Wait,0,0
*1-3,C-CV,20.87,69.97
*1-4,Wait,0,0
*1-5,D-CC,20.80,66.82
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
11290,4.40,3.216
11292,4.40,3.216
11294,4.40,3.216
11296,4.40,3.216
11298,4.40,3.216
11300,4.40,3.216
11302,4.40,3.216
11304,4.40,3.216
11306,4.40,3.216
11308,4.40,3.216
11310,4.40,3.216
11312,4.40,3.216
11314,4.40,3.216
11316,4.40,3.216
11318,4.40,3.216
11320,4.40,3.216
11322,4.40,3.216
11324,4.40,3.216
11326,4.40,3.216
11328,4.40,3.216
11330,4.40,3.216
11332,4.40,3.216
11334,4.40,3.216
11336,4.40,3.216
11338,4.40,3.216
11340,4.40,3.216
11342,4.40,3.216
11344,4.40,3.216
11346,4.40,3.216
11348,4.40,3.216
11350,4.40,3.216
11352,4.40,3.216
11354,4.40,3.216
11356,4.40,3.216
11358,4.40,3.216
11360,4.40,3.216
11362,4.40,3.216
11364,4.40,3.216
11366,4.40,3.216
11368,4.40,3.216
11370,4.40,3.216
11372,4.40,3.216
11374,4.40,3.216
11376,4.40,3.216
11378,4.40,3.216
11380,4.40,3.216
11382,4.40,3.216
11384,4.40,3.216
11386,4.40,3.216
11388,4.40,3.216
11390,4.40,3.216
11392,4.40,3.216
11394,4.40,3.216
11396,4.40,3.216
11398,4.40,3.216
11400,4.40,3.216
11402,4.40,3.216
11404,4.40,3.216
11406,4.40,3.216
11408,4.40,3.216
11410,4.40,3.216
11412,4.40,3.216
11414,4.40,3.216
11416,4.40,3.216
11418,4.40,3.216
11420,4.40,3.216
11422,4.40,3.216
11424,4.40,3.216
11426,4.40,3.216
11428,4.40,3.216
11430,4.40,3.216
11432,4.40,3.216
11434,4.40,3.216
11436,4.40,3.216
11438,4.40,3.216
11440,4.40,3.216
11442,4.40,3.216
11444,4.40,3.216
11446,4.40,3.216
