-----------EB Tester Software-----------,,,
*Step,Mode,Capacity,Energy
*1-1,D-CC,0.118,0.309
*1-2,Wait,0,0
*1-3,C-CV,20.87,69.97
*1-4,Wait,0,0
*1-5,D-CC,20.8,66.82
Title:EB Tester Software,,,
------------www.zketech.com--------------,,,
Time(S),Cur(A),Vol(V),
0,4.4,3.553,
2,4.4,3.536,
4,4.4,3.522,
6,4.4,3.507,
8,4.4,3.493,
10,4.4,3.486,
12,4.4,3.479,
14,4.4,3.471,
16,4.4,3.464,
18,4.4,3.461,
20,4.4,3.457,
22,4.4,3.45,
24,4.4,3.45,
26,4.4,3.442,
28,4.4,3.441,
30,4.4,3.436,
32,4.4,3.435,
34,4.4,3.434,
36,4.4,3.428,
38,4.4,3.428,
40,4.4,3.427,
42,4.4,3.42,
44,4.4,3.42,
46,4.4,3.42,
48,4.4,3.414,
50,4.4,3.413,
52,4.4,3.412,
54,4.4,3.41,
56,4.4,3.406,
58,4.4,3.406,
60,4.4,3.405,
62,4.4,3.403,
64,4.4,3.399,
66,4.4,3.399,
68,4.4,3.398,
70,4.4,3.397,
72,4.4,3.391,
74,4.4,3.391,
76,4.4,3.391,
78,4.4,3.39,
80,4.4,3.388,
82,4.4,3.384,
84,4.4,3.384,
86,4.4,3.383,
88,4.4,3.381,
90,4.4,3.377,
92,4.4,3.377,
94,4.4,3.377,
96,4.4,3.377,
98,4.4,3.376,
100,4.4,3.374,
102,4.4,3.369,
104,4.4,3.369,
106,4.4,3.369,
108,4.4,3.369,
110,4.4,3.369,
112,4.4,3.365,
114,4.4,3.362,
116,4.4,3.362,
118,4.4,3.362,
120,4.4,3.362,
122,4.4,3.361,
124,4.4,3.359,
126,4.4,3.355,
128,4.4,3.355,
130,4.4,3.355,
132,4.4,3.355,
134,4.4,3.354,
136,4.4,3.354,
138,4.4,3.349,
140,4.4,3.348,
142,4.4,3.348,
144,4.4,3.348,
146,4.4,3.348,
148,4.4,3.347,
150,4.4,3.347,
152,4.4,3.345,
154,4.4,3.341,
156,4.4,3.34,
158,4.4,3.34,
160,4.4,3.34,
162,4.4,3.339,
164,4.4,3.339,
166,4.4,3.339,
168,4.4,3.336,
170,4.4,3.333,
172,4.4,3.333,
174,4.4,3.333,
176,4.4,3.333,
178,4.4,3.333,
180,4.4,3.332,
182,4.4,3.332,
184,4.4,3.331,
186,4.4,3.328,
188,4.4,3.326,
190,4.4,3.326,
192,4.4,3.326,
194,4.4,3.326,
196,4.4,3.326,
198,4.4,3.326,
200,4.4,3.325,
202,4.4,3.325,
204,4.4,3.321,
206,4.4,3.319,
208,4.4,3.318,
210,4.4,3.318,
212,4.4,3.318,
214,4.4,3.318,
216,4.4,3.318,
218,4.4,3.318,
220,4.4,3.317,
222,4.4,3.317,
224,4.4,3.317,
226,4.4,3.317,
228,4.4,3.315,
230,4.4,3.313,
232,4.4,3.311,
234,4.4,3.311,
236,4.4,3.311,
238,4.4,3.311,
240,4.4,3.311,
242,4.4,3.311,
244,4.4,3.311,
246,4.4,3.311,
248,4.4,3.31,
250,4.4,3.31,
252,4.4,3.31,
254,4.4,3.309,
256,4.4,3.307,
258,4.4,3.306,
260,4.4,3.304,
262,4.4,3.304,
264,4.4,3.304,
266,4.4,3.304,
268,4.4,3.304,
270,4.4,3.304,
272,4.4,3.304,
274,4.4,3.304,
276,4.4,3.304,
278,4.4,3.304,
280,4.4,3.303,
282,4.4,3.303,
284,4.4,3.303,
286,4.4,3.303,
288,4.4,3.303,
290,4.4,3.303,
292,4.4,3.302,
294,4.4,3.301,
296,4.4,3.299,
298,4.4,3.298,
300,4.4,3.297,
302,4.4,3.297,
304,4.4,3.297,
306,4.4,3.297,
308,4.4,3.297,
310,4.4,3.297,
312,4.4,3.297,
314,4.4,3.297,
316,4.4,3.297,
318,4.4,3.297,
320,4.4,3.297,
322,4.4,3.297,
324,4.4,3.297,
326,4.4,3.297,
328,4.4,3.297,
330,4.4,3.297,
332,4.4,3.297,
334,4.4,3.297,
336,4.4,3.297,
338,4.4,3.297,
340,4.4,3.296,
342,4.4,3.297,
344,4.4,3.297,
346,4.4,3.296,
348,4.4,3.296,
350,4.4,3.296,
352,4.4,3.296,
354,4.4,3.296,
356,4.4,3.296,
358,4.4,3.296,
360,4.4,3.296,
362,4.4,3.296,
364,4.4,3.296,
366,4.4,3.296,
368,4.4,3.295,
370,4.4,3.295,
372,4.4,3.295,
374,4.4,3.294,
376,4.4,3.294,
378,4.4,3.294,
380,4.4,3.293,
382,4.4,3.293,
384,4.4,3.293,
386,4.4,3.293,
388,4.4,3.292,
390,4.4,3.291,
392,4.4,3.292,
394,4.4,3.291,
396,4.4,3.291,
398,4.4,3.291,
400,4.4,3.29,
402,4.4,3.29,
404,4.4,3.29,
406,4.4,3.29,
408,4.4,3.29,
410,4.4,3.29,
412,4.4,3.29,
414,4.4,3.29,
416,4.4,3.289,
418,4.4,3.289,
420,4.4,3.289,
422,4.4,3.289,
424,4.4,3.289,
426,4.4,3.289,
428,4.4,3.289,
430,4.4,3.289,
432,4.4,3.289,
434,4.4,3.289,
436,4.4,3.289,
438,4.4,3.289,
440,4.4,3.289,
442,4.4,3.289,
444,4.4,3.289,
446,4.4,3.289,
448,4.4,3.289,
450,4.4,3.289,
452,4.4,3.289,
454,4.4,3.289,
456,4.4,3.289,
458,4.4,3.289,
460,4.4,3.289,
462,4.4,3.289,
464,4.4,3.289,
466,4.4,3.289,
468,4.4,3.289,
470,4.4,3.289,
472,4.4,3.289,
474,4.4,3.289,
476,4.4,3.289,
478,4.4,3.289,
480,4.4,3.289,
482,4.4,3.289,
484,4.4,3.289,
486,4.4,3.289,
488,4.4,3.289,
490,4.4,3.289,
492,4.4,3.289,
494,4.4,3.289,
496,4.4,3.289,
498,4.4,3.289,
500,4.4,3.289,
502,4.4,3.289,
504,4.4,3.289,
506,4.4,3.289,
508,4.4,3.289,
510,4.4,3.289,
512,4.4,3.289,
514,4.4,3.289,
516,4.4,3.289,
518,4.4,3.289,
520,4.4,3.289,
522,4.4,3.289,
524,4.4,3.289,
526,4.4,3.289,
528,4.4,3.289,
530,4.4,3.289,
532,4.4,3.289,
534,4.4,3.289,
536,4.4,3.289,
538,4.4,3.289,
540,4.4,3.289,
542,4.4,3.289,
544,4.4,3.289,
546,4.4,3.289,
548,4.4,3.289,
550,4.4,3.289,
552,4.4,3.289,
554,4.4,3.289,
556,4.4,3.289,
558,4.4,3.289,
560,4.4,3.289,
562,4.4,3.289,
564,4.4,3.289,
566,4.4,3.289,
568,4.4,3.289,
570,4.4,3.289,
572,4.4,3.289,
574,4.4,3.289,
576,4.4,3.289,
578,4.4,3.289,
580,4.4,3.289,
582,4.4,3.289,
584,4.4,3.289,
586,4.4,3.289,
588,4.4,3.289,
590,4.4,3.289,
592,4.4,3.289,
594,4.4,3.289,
596,4.4,3.289,
598,4.4,3.289,
600,4.4,3.289,
602,4.4,3.289,
604,4.4,3.289,
606,4.4,3.289,
608,4.4,3.289,
610,4.4,3.289,
612,4.4,3.289,
614,4.4,3.289,
616,4.4,3.289,
618,4.4,3.289,
620,4.4,3.289,
622,4.4,3.289,
624,4.4,3.289,
626,4.4,3.289,
628,4.4,3.289,
630,4.4,3.289,
632,4.4,3.289,
634,4.4,3.289,
636,4.4,3.289,
638,4.4,3.289,
640,4.4,3.289,
642,4.4,3.289,
644,4.4,3.289,
646,4.4,3.289,
648,4.4,3.289,
650,4.4,3.289,
652,4.4,3.289,
