elapsed_s,voltage_V,current_A,temp_bat1_C,soc_cc_pct,soc_jk_pct,soc_ekf_pct,err_jk_pct,err_ekf_pct,v_pred_V
1.021,25.884,0.0,28.2,30.0,30.0,29.8782,0.0,0.1218,25.9392
2.045,25.884,0.0,28.2,30.0,30.0,29.8775,0.0,0.1225,25.88572
2.996,25.884,0.0,28.2,30.0,30.0,29.877,0.0,0.123,25.88539
4.0,25.886,0.0,28.2,30.0,30.0,29.8771,0.0,0.1229,25.88545
5.014,25.883,0.0,28.2,30.0,30.0,29.8728,0.0,0.1272,25.88731
6.04,25.883,0.0,28.2,30.0,30.0,29.8722,0.0,0.1278,25.88456
7.064,25.881,0.0,28.2,30.0,30.0,29.8695,0.0,0.1305,25.8845
8.095,25.883,0.0,28.2,30.0,30.0,29.8696,0.0,0.1304,25.88261
9.011,25.883,0.0,28.2,30.0,30.0,29.8692,0.0,0.1308,25.88426
10.034,25.884,0.0,28.2,30.0,30.0,29.8692,0.0,0.1308,25.88449
11.058,25.884,0.0,28.2,30.0,30.0,29.8688,0.0,0.1312,25.88543
12.009,25.884,0.0,28.2,30.0,30.0,29.8684,0.0,0.1316,25.88537
13.016,25.884,0.0,28.2,30.0,30.0,29.868,0.0,0.132,25.88544
14.032,25.884,0.0,28.2,30.0,30.0,29.8675,0.0,0.1325,25.88545
15.158,25.884,0.0,28.2,30.0,30.0,29.867,0.0,0.133,25.8856
16.078,25.884,0.0,28.2,30.0,30.0,29.8667,0.0,0.1333,25.88532
17.102,25.884,0.0,28.2,30.0,30.0,29.8663,0.0,0.1337,25.88545
18.035,25.883,0.0,28.2,30.0,30.0,29.8653,0.0,0.1347,25.88533
19.044,25.883,0.0,28.2,30.0,30.0,29.8649,0.0,0.1351,25.88449
20.072,25.883,0.0,28.2,30.0,30.0,29.8645,0.0,0.1355,25.88449
21.095,25.884,0.0,28.2,30.0,30.0,29.8644,0.0,0.1356,25.88448
22.042,25.884,0.0,28.2,30.0,30.0,29.8641,0.0,0.1359,25.88532
23.04,25.881,0.0,28.2,30.0,30.0,29.8607,0.0,0.1393,25.88541
24.071,25.881,0.0,28.2,30.0,30.0,29.8603,0.0,0.1397,25.88258
25.087,25.884,0.0,28.2,30.0,30.0,29.8606,0.0,0.1394,25.88252
26.11,25.881,0.0,28.2,30.0,30.0,29.8575,0.0,0.1425,25.88534
27.138,25.883,0.0,28.2,30.0,30.0,29.8575,0.0,0.1425,25.88257
28.061,25.883,0.0,28.2,30.0,30.0,29.8573,0.0,0.1427,25.88427
29.086,26.013,4.8,28.2,30.0066,30.0,29.8834,0.0066,0.1232,25.99764
30.104,26.013,4.92,28.2,30.0133,30.0,29.8842,0.0133,0.1291,26.01919
31.128,26.027,4.76,28.2,30.0198,30.0,29.9075,0.0198,0.1123,26.01286
32.058,26.027,4.96,28.2,30.0259,30.0,29.9058,0.0259,0.1202,26.03441
33.077,26.041,5.0,28.2,30.0327,30.0,29.9234,0.0327,0.1093,26.03122
34.11,26.05,4.88,28.2,30.0395,30.0,29.9398,0.0395,0.0997,26.04109
35.123,26.05,4.88,28.2,30.0461,30.0,29.9456,0.0461,0.1005,26.0525
36.071,26.051,4.84,28.2,30.0522,30.0,29.9517,0.0522,0.1005,26.0515
37.17,26.062,4.8,28.2,30.0592,30.0,29.9682,0.0592,0.091,26.05275
38.091,26.068,5.0,28.2,30.0654,30.0,29.9743,0.0654,0.0911,26.06863
39.118,26.071,4.84,28.2,30.072,30.0,29.9835,0.072,0.0885,26.06649
40.152,26.077,4.92,28.2,30.0788,30.0,29.9909,0.0788,0.0879,26.07481
41.081,26.077,4.92,28.2,30.0849,30.0,29.9966,0.0849,0.0883,26.07869
